address,latitude,longitude
"Glen Allen, VA",37.6659781,-77.506374
"Dubai, 506914 United Arab Emirates",25.2683521,55.2961962
Hysan Avenue Causeway Bay Hong Kong,22.2785108,114.1855674
Kuala Lumpur Malaysia,3.1516636,101.6943028
Mumbai City 400 051 India,18.9733536,72.8281049191738
Kanda-Ogawamachi Chiyoda-ku Tokyo 101-0052 Japan,35.6950935,139.7641599
Hamilton HM 11 Bermuda,32.3298121,-64.7057782525722
"Toronto, ON M5V 3C7  Canada",43.653963,-79.387207
"Vancouver, BC V6E 4A6 Canada",49.2608724,-123.1139529
Barcelona Spain,41.3828939,2.1774322
Dublin 2 Ireland,53.33894015,-6.25271282175961
Madrid Spain ,40.4167047,-3.7035825
Munich Germany,48.1371079,11.5753822
Pierrefitte-en-Auge France,49.2577362,0.2010365
Rotterdam Netherlands,51.92779805,4.48862326925829
"BogotÃ¡, Distrito Capital Colombia",4.5980772,-74.0761028
Rio de Janeiro - RJ 20090-003 Brazil,-22.9110137,-43.2093727
Birmingham B2 5PP United Kingdom,52.4775396,-1.894053
Chippenham Wiltshire SN15 5AS United Kingdom,51.4587621,-2.1159032
Bristol BS2 0ZX United Kingdom,51.4538022,-2.5972985
Croydon CR0 2BX United Kingdom,51.35505915,-0.0643144769120197
Leeds LS11 5AS United Kingdom,53.7974185,-1.5437941
London EC3M 3AZ United Kingdom,51.4893335,-0.144055084527687
Kent TN13 1DU United Kingdom,51.2849773,0.169563687208401
Manchester M2 1HL  United Kingdom,53.4794892,-2.2451148
Reigate RH2 9AE United Kingdom,51.237387,-0.2059492
Rugby CV23 0UY United Kingdom,52.3726682,-1.2620038
Sheffield S11 8FT United Kingdom,53.3806626,-1.4702278
"Alpharetta, GA",34.0709576,-84.2747329
"Kennesaw, GA",34.0234337,-84.6154897
"Marietta, GA",33.9528472,-84.5496148
"Austin, TX",30.2711286,-97.7436995
"Birmingham, AL",33.5206824,-86.8024326
"Boston, MA",42.3602534,-71.0582912
"Chicago, IL",41.8755616,-87.6244212
"Deerfield, IL",42.1711365,-87.8445119
"Bedford, Texas",32.844017,-97.1430671
"Plano, TX",33.0136764,-96.6925096
"Lakewood, CO",39.6311085,-105.11005818223
"Geneva, IL",46.2017559,6.1466014
"Windsor, CT",41.8525984,-72.6437022
"Hawley, PA",41.4759224,-75.1821189
"Houston, TX",29.7589382,-95.3676974
"Stilwell, KS",38.7691755,-94.6563454
"Kennesaw, GA",34.0234337,-84.6154897
"Henderson, NV",36.0391456,-114.9819235
"Los Angeles, CA",34.0536834,-118.2427669
"Ontario, CA",50.000678,-86.000977
"Westminster, CA",42.8864294,-81.2392213
"Woodland Hills, CA",48.8265445,-123.6264973
"Waukesha, WI",43.0116784,-88.2314813
"Nashville, TN",36.1622296,-86.7743531
"New York, NY ",40.7308619,-73.9871558
"Omaha, NE",41.2587317,-95.9378732
"Cranston, RI",41.7809588,-71.4371257
"Red Bank, NJ",40.3470543,-74.0643065
"San Antonio, TX",29.4246002,-98.4951405
"San Diego, CA",32.7174209,-117.1627714
"San Francisco, CA ",45.4423543,-73.4373087
"Pleasanton, CA ",37.6624312,-121.8746789
"Larkspur, CA",53.47988665,-113.381223443886
"Scottsdale, AZ",33.5091215,-111.8992365
"Summit, NJ",40.7182356,-74.3592296
"Tampa, FL",27.9477595,-82.458444
"Warrenton, VA",38.7135498,-77.795367
