origin,destination,count
DCA,ALB,304
DCA,ATL,7296
DCA,BDL,1183
DCA,BNA,1401
DCA,BOS,8929
DCA,SEA,727
DEN,ATL,5903
DEN,AUS,2719
DEN,CLE,969
DEN,FAR,1246
DEN,FAT,1266
DEN,IAD,2943
DEN,IAH,4788
DFW,ATL,9849
DFW,BOS,3036
DFW,JFK,833
DFW,LAS,4956
DFW,LAW,1822
DFW,LAX,6571
DFW,PHX,5388
DFW,PIA,635
DFW,PIT,2140
DFW,RIC,1041
DFW,XNA,2780
IAD,ABQ,365
IAD,ATL,5362
IAD,CLE,1435
IAD,CLT,2762
IAD,DCA,1
IAD,DEN,2984
IAD,DFW,2009
IAD,DTW,1684
IAD,PHL,607
IAD,PHX,731
IAD,PIT,740
IAD,SEA,1098
IAH,AUS,3704
IAH,AVL,458
IAH,BDL,120
IAH,BHM,2333
IAH,BNA,2547
IAH,BOS,1822
IAH,DCA,2941
IAH,DEN,4584
IAH,DFW,5539
IAH,DSM,688
IAH,DTW,2742
IAH,EGE,124
IAH,ELP,1136
IAH,HNL,702
IAH,HOU,2
IAH,IAD,1422
IAH,ICT,1594
IAH,JAX,1529
IAH,JFK,969
IAH,LAS,2682
IAH,LAX,3867
IAH,OAK,722
IAH,OKC,2625
IAH,SEA,2393
SEA,ABQ,708
SEA,DCA,727
SEA,DEN,6623
SEA,IAD,1097
SEA,IAH,2395
SEA,IND,75
SEA,JFK,1852
SEA,OAK,5095
